"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2018","21,244.68","21,633.34","21,679.20","21,211.53","1.18B","-0.65%"
"Feb 09, 2018","21,382.62","21,507.74","21,510.30","21,119.01","1.32B","-2.32%"
"Feb 08, 2018","21,890.86","21,721.57","21,977.03","21,649.70","1.08B","1.13%"
"Feb 07, 2018","21,645.37","22,001.29","22,353.87","21,627.13","1.48B","0.16%"
"Feb 06, 2018","21,610.24","22,267.00","22,277.45","21,078.71","1.96B","-4.73%"
"Feb 05, 2018","22,682.08","22,921.16","22,967.69","22,659.43","1.11B","-2.55%"
"Feb 02, 2018","23,274.53","23,361.67","23,367.96","23,122.45","1.02B","-0.90%"
"Feb 01, 2018","23,486.11","23,276.10","23,492.77","23,211.12","1.05B","1.68%"
"Jan 31, 2018","23,098.29","23,205.23","23,375.38","23,092.85","1.03B","-0.83%"
"Jan 30, 2018","23,291.97","23,559.33","23,581.98","23,233.37","914.75M","-1.43%"
"Jan 29, 2018","23,629.34","23,707.14","23,787.23","23,580.17","708.86M","-0.01%"
"Jan 26, 2018","23,631.88","23,757.34","23,797.96","23,592.28","898.74M","-0.16%"
"Jan 25, 2018","23,669.49","23,750.65","23,828.40","23,649.03","840.06M","-1.13%"
"Jan 24, 2018","23,940.78","24,026.43","24,072.77","23,917.14","824.27M","-0.76%"
"Jan 23, 2018","24,124.15","23,924.40","24,129.34","23,916.02","757.50M","1.29%"
"Jan 22, 2018","23,816.33","23,797.84","23,816.33","23,697.81","671.64M","0.03%"
"Jan 19, 2018","23,808.06","23,854.11","23,872.69","23,735.61","740.33M","0.19%"
"Jan 18, 2018","23,763.37","24,078.93","24,084.42","23,699.47","1.03B","-0.44%"
"Jan 17, 2018","23,868.34","23,783.42","23,891.63","23,739.17","847.43M","-0.35%"
"Jan 16, 2018","23,951.81","23,721.17","23,962.07","23,701.83","706.43M","1.00%"
"Jan 15, 2018","23,714.88","23,827.98","23,833.27","23,685.02","776.95M","0.26%"
"Jan 12, 2018","23,653.82","23,719.66","23,743.05","23,588.07","966.08M","-0.24%"
"Jan 11, 2018","23,710.43","23,656.39","23,734.97","23,601.84","862.80M","-0.33%"
"Jan 10, 2018","23,788.20","23,832.81","23,864.76","23,755.45","914.88M","-0.26%"
"Jan 09, 2018","23,849.99","23,948.97","23,952.61","23,789.03","970.17M","0.57%"
"Jan 05, 2018","23,714.53","23,643.00","23,730.47","23,520.52","1.05B","0.89%"
"Jan 04, 2018","23,506.33","23,073.73","23,506.33","23,065.20","1.05B","3.26%"
"Dec 29, 2017","22,764.94","22,831.49","22,881.21","22,753.20","478.72M","-0.08%"
