"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","268.27","267.97","269.63","266.27","65.65K","0.10%"
"Jun 05, 2019","267.99","270.10","270.46","267.46","67.51M","0.12%"
"Jun 04, 2019","267.66","267.84","268.47","266.72","70.29M","-0.19%"
"Jun 03, 2019","268.16","262.68","268.55","262.33","83.61M","1.62%"
"May 31, 2019","263.89","262.48","265.21","261.53","77.79M","-0.02%"
"May 30, 2019","263.93","261.58","264.23","261.58","70.34M","0.98%"
"May 29, 2019","261.37","264.10","264.10","260.22","82.79M","-1.26%"
"May 28, 2019","264.70","264.38","266.16","263.27","147.26M","0.11%"
"May 27, 2019","264.40","264.18","265.85","263.17","53.14M","-0.01%"
"May 24, 2019","264.42","264.70","266.11","263.10","67.23M","-0.74%"
"May 23, 2019","266.38","266.40","267.12","264.50","71.66M","-0.10%"
"May 22, 2019","266.65","267.01","267.60","263.95","61.66M","0.20%"
"May 21, 2019","266.12","265.25","268.55","264.79","81.02M","0.44%"
"May 20, 2019","264.96","265.90","267.65","264.33","64.23M","0.23%"
"May 17, 2019","264.35","267.85","268.06","263.94","75.10M","-0.62%"
"May 16, 2019","265.99","269.83","269.96","265.24","75.96M","-1.35%"
"May 15, 2019","269.64","268.42","271.00","267.62","77.02M","0.40%"
"May 14, 2019","268.57","266.03","270.42","265.55","82.19M","-0.06%"
"May 13, 2019","268.72","269.80","271.54","268.55","66.87M","-1.23%"
"May 10, 2019","272.06","273.37","274.32","269.71","89.44M","0.39%"
"May 09, 2019","271.00","278.83","279.63","271.00","124.01M","-3.27%"
"May 08, 2019","280.15","277.85","281.84","277.84","75.00M","-0.41%"
"May 07, 2019","281.31","280.89","281.66","278.95","97.72M","-0.83%"
"May 03, 2019","283.67","285.64","285.95","283.14","67.79M","-0.86%"
"May 02, 2019","286.12","283.37","286.87","283.14","84.18M","0.42%"
"Apr 30, 2019","284.92","286.25","286.59","282.61","77.99M","-0.65%"
"Apr 29, 2019","286.79","282.00","286.79","281.81","66.98M","1.94%"
"Apr 26, 2019","281.34","280.86","282.47","279.70","76.72M","-0.53%"
"Apr 25, 2019","282.83","282.80","284.22","281.90","74.58M","-0.31%"
"Apr 24, 2019","283.70","287.82","287.82","281.96","88.61M","-0.97%"
"Apr 23, 2019","286.47","285.85","286.83","285.42","67.38M","0.21%"
"Apr 22, 2019","285.87","286.06","287.59","284.52","55.19M","-0.01%"
"Apr 19, 2019","285.89","287.18","287.48","285.72","63.87M","0.02%"
"Apr 18, 2019","285.82","290.88","291.15","285.38","89.65M","-1.55%"
"Apr 17, 2019","290.33","290.68","291.21","289.84","72.67M","-0.10%"
"Apr 16, 2019","290.62","289.18","290.76","288.77","96.13M","0.43%"
"Apr 15, 2019","289.38","289.54","290.74","289.12","80.43M","0.35%"
"Apr 12, 2019","288.37","286.89","288.62","285.83","69.06M","0.33%"
"Apr 11, 2019","287.42","288.33","288.71","286.38","84.68M","-0.17%"
"Apr 10, 2019","287.92","285.44","288.01","285.10","75.08M","0.42%"
"Apr 09, 2019","286.71","286.51","288.02","285.38","66.23M","0.12%"
"Apr 08, 2019","286.38","287.78","287.83","285.09","64.57M","-0.10%"
"Apr 05, 2019","286.68","286.03","287.53","285.93","64.89M","0.19%"
"Apr 04, 2019","286.15","285.29","287.75","284.97","73.80M","0.18%"
"Apr 03, 2019","285.65","281.88","285.65","281.22","91.59M","1.39%"
"Apr 02, 2019","281.72","281.67","282.47","281.00","72.18M","0.50%"
"Apr 01, 2019","280.32","278.41","280.93","278.41","76.67M","1.39%"
"Mar 29, 2019","276.48","276.33","277.01","274.32","82.28M","0.51%"
"Mar 28, 2019","275.08","275.02","276.20","273.90","66.92M","-0.79%"
"Mar 27, 2019","277.28","277.01","278.16","274.87","67.77M","-0.12%"
"Mar 26, 2019","277.60","278.43","278.49","276.91","65.75M","0.05%"
"Mar 25, 2019","277.45","279.12","279.21","277.19","77.32M","-2.01%"
"Mar 22, 2019","283.13","283.92","284.55","282.09","117.73M","0.27%"
"Mar 21, 2019","282.38","281.14","284.39","280.63","97.09M","0.88%"
"Mar 20, 2019","279.92","278.84","280.07","276.34","61.17M","0.04%"
"Mar 19, 2019","279.82","280.30","280.40","278.63","55.39M","-0.04%"
"Mar 18, 2019","279.93","280.27","280.77","278.92","60.90M","0.02%"
"Mar 15, 2019","279.87","276.42","280.50","276.31","123.13M","1.17%"
"Mar 14, 2019","276.64","276.79","277.40","274.78","95.82M","0.23%"
"Mar 13, 2019","276.00","276.92","277.12","274.04","61.49M","-0.62%"
"Mar 12, 2019","277.73","277.41","278.48","276.94","63.96M","0.97%"
"Mar 11, 2019","275.06","275.50","276.28","273.88","64.83M","0.08%"
"Mar 08, 2019","274.84","277.18","278.00","274.84","71.64M","-1.45%"
"Mar 07, 2019","278.87","279.33","280.98","277.44","78.64M","-0.35%"
"Mar 06, 2019","279.85","280.09","280.26","278.72","75.23M","-0.21%"
"Mar 05, 2019","280.45","281.42","281.89","279.53","78.81M","-0.73%"
"Mar 04, 2019","282.51","286.12","286.68","282.16","107.55M","-0.45%"
"Feb 28, 2019","283.80","288.13","288.62","283.80","129.09M","-1.72%"
"Feb 27, 2019","288.76","288.90","289.41","288.09","72.74M","0.30%"
"Feb 26, 2019","287.89","288.52","289.20","287.06","81.33M","-0.38%"
"Feb 25, 2019","289.00","290.19","290.32","287.84","73.42M","0.09%"
"Feb 22, 2019","288.74","287.29","288.74","286.54","70.34M","0.11%"
"Feb 21, 2019","288.41","287.43","289.28","286.05","88.24M","0.00%"
"Feb 20, 2019","288.40","286.55","289.22","286.21","88.58M","1.22%"
"Feb 19, 2019","284.91","285.36","286.12","283.16","62.75M","-0.35%"
"Feb 18, 2019","285.90","285.60","287.02","284.64","73.48M","0.68%"
"Feb 15, 2019","283.98","286.42","286.42","282.81","77.19M","-1.63%"
"Feb 14, 2019","288.68","284.25","288.68","282.91","112.39M","1.30%"
"Feb 13, 2019","284.97","285.09","285.59","284.13","93.29M","0.45%"
"Feb 12, 2019","283.69","282.12","284.32","281.43","92.11M","0.56%"
"Feb 11, 2019","282.10","281.75","282.19","280.02","79.97M","0.22%"
"Feb 08, 2019","281.49","283.85","284.01","280.95","88.71M","-1.46%"
"Feb 07, 2019","285.65","287.54","287.67","284.97","100.69M","-0.05%"
"Feb 01, 2019","285.79","287.07","288.34","285.43","114.63M","-0.03%"
"Jan 31, 2019","285.89","288.85","288.87","285.89","153.50M","-0.25%"
"Jan 30, 2019","286.62","282.86","286.63","282.24","134.73M","1.28%"
"Jan 29, 2019","283.00","281.12","283.00","279.65","130.94M","0.48%"
