Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Eun Sung Chae,LG,OF,109,416,59,122,17,2,15,88,0,3,32,69,0,7,9,.293,.353,.452,.805
Dong Yeop Kim,SAM,OF,115,413,60,129,21,0,20,74,4,4,29,79,1,4,4,.312,.359,.508,.868
Chi Hong An,LOT,2B,124,412,49,118,28,0,8,54,14,3,35,47,4,2,7,.286,.351,.413,.763
Hoon Jung,LOT,OF,111,410,72,121,19,1,11,58,11,1,56,85,2,4,4,.295,.380,.427,.807
Yong Ho Jo,KTW,OF,132,409,73,121,15,0,0,32,12,3,64,83,5,2,2,.296,.389,.333,.722
Chang Gi Hong,LG,OF,135,408,87,114,29,6,5,39,11,5,83,87,3,3,10,.279,.409,.417,.826
Sang Su Kim,SAM,2B,120,404,71,123,18,3,5,47,10,3,55,55,2,2,8,.304,.396,.401,.797
Won Seok Lee,SAM,3B,121,403,46,108,17,0,13,74,0,1,49,82,1,12,2,.268,.342,.407,.749
Jae Ho Kim,DOO,SS,120,402,48,116,15,1,2,39,6,2,45,45,2,5,4,.289,.362,.346,.707
Sung Woo Jang,KTW,C,130,400,39,111,15,0,13,79,0,0,38,64,10,6,1,.278,.330,.413,.742
Jin Sung Kang,NCD,1B,121,395,53,122,25,0,12,70,9,1,20,46,2,6,9,.309,.350,.463,.813
Min Sang Yoo,KIA,1B,126,391,38,96,23,0,8,65,0,0,53,80,2,4,6,.246,.341,.366,.707
Han Joon Yoo,KTW,OF,119,386,48,108,17,0,11,64,0,0,40,51,1,1,0,.280,.349,.409,.758
Se Hyuk Park,DOO,C,124,360,47,97,18,2,4,51,5,3,35,45,9,7,12,.269,.340,.364,.704
Byung Woo Jeon,KIW,3B,119,359,46,85,13,3,8,48,7,0,37,100,2,2,2,.237,.308,.357,.665
Won Joon Choi,KIA,OF,123,359,72,117,16,6,2,35,14,3,33,35,9,5,6,.326,.379,.421,.799
Suk Min Park,NCD,3B,123,356,58,109,15,0,14,63,0,1,75,62,2,4,10,.306,.437,.466,.903
Min Ho Kang,SAM,C,119,355,46,102,14,0,19,61,0,0,31,54,0,3,4,.287,.352,.487,.839
Joon Tae Park,KIW,OF,128,347,71,85,13,1,5,29,5,1,65,120,9,3,19,.245,.381,.331,.713
Si Hwan Noh,HAN,3B,1,346,46,76,18,2,12,43,0,1,33,116,1,1,6,.220,.299,.387,.686
Hee Dong Kwon,NCD,OF,123,346,67,90,16,0,12,50,3,0,58,72,6,5,11,.260,.373,.410,.784
Sung Hyun Kim,SK,SS,133,343,34,93,9,1,2,25,1,1,30,27,11,3,5,.271,.327,.321,.647
Jae Hoon Choi,HAN,C,126,339,46,102,19,0,3,36,0,0,29,44,5,0,16,.301,.378,.383,.761
Ju Hyeon Jung,LG,2B,134,328,50,81,10,4,4,30,8,7,28,63,9,2,4,.247,.305,.338,.643
Kyung Soo Park,KTW,2B,119,324,33,91,17,0,13,59,0,1,48,96,3,7,9,.281,.382,.454,.835
Dong Won Park,KIW,C,112,324,45,81,21,0,12,50,0,0,39,68,2,2,5,.250,.336,.426,.762
Jeong Hyeop Heo,KIW,OF,111,314,45,84,12,0,10,43,0,0,40,73,3,1,2,.268,.350,.401,.751
Chun Woong Lee,LG,OF,89,312,44,80,11,2,3,36,8,5,35,44,2,6,4,.256,.331,.333,.665
Byung Hun Min,LOT,OF,109,309,42,72,12,0,2,23,10,6,21,62,5,2,5,.233,.289,.291,.580
Byung Ho Park,KIW,1B,93,309,56,69,7,0,21,66,0,0,57,114,0,8,9,.223,.356,.450,.806
Joon Tae Kim,LOT,C,128,306,38,69,12,2,5,43,2,2,56,64,3,3,1,.225,.341,.327,.668
Sun Bin Kim,KIA,2B,85,303,42,100,19,0,1,37,1,1,40,43,1,5,2,.330,.405,.403,.807
