Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Do Hwan Hur,KTW,C,52,53,2,14,1,0,0,5,0,0,6,15,1,0,2,.264,.355,.283,.638
Min Seok Kwon,DOO,3B,55,50,6,13,2,0,0,7,1,0,3,15,2,2,0,.260,.281,.300,.581
Han Min Jo,HAN,SS,25,50,7,11,4,0,0,2,0,0,0,22,0,0,2,.220,.250,.300,.550
Tae Gon Oh,KTW,OF,40,50,7,11,1,1,0,5,1,0,1,16,0,0,4,.220,.291,.280,.571
Hong Gu Lee,SK,C,23,48,3,9,1,0,1,3,0,0,3,16,0,1,1,.188,.245,.271,.516
Jun Seok Song,SAM,OF,32,47,5,13,5,0,1,7,0,0,2,6,0,0,1,.277,.320,.447,.767
Moon Ho Kim,HAN,1B,18,46,6,10,1,0,2,5,0,0,5,11,0,0,1,.217,.308,.370,.677
Joon Young Park,NCD,2B,32,46,4,7,4,0,0,3,1,0,2,17,0,0,3,.152,.235,.239,.474
Sang Eon Park,HAN,C,38,46,4,10,3,0,0,2,0,0,0,16,0,0,1,.217,.234,.283,.517
Yong Jae Choi,DOO,C,28,44,9,13,0,1,0,9,0,0,4,8,1,0,0,.295,.347,.341,.688
Jeong Eum Park,KIW,OF,86,43,20,8,0,1,0,2,9,1,2,14,0,0,2,.186,.255,.233,.488
Joo Hyung Kim,KIW,SS,39,43,8,10,3,0,1,6,0,1,4,10,1,0,2,.233,.320,.372,.692
Jang Hyeok Yoo,HAN,OF,30,42,3,7,1,0,0,0,0,1,4,18,0,0,0,.167,.239,.190,.430
Min Seop Song,KTW,OF,114,41,21,8,1,1,1,5,4,3,5,13,3,1,1,.195,.275,.341,.616
Do Hwan Kim,SAM,C,34,41,2,9,2,0,0,9,0,0,5,16,1,2,0,.220,.286,.268,.554
Jeong Won Choi,NCD,2B,49,40,18,11,3,1,0,2,4,0,7,13,1,0,0,.275,.375,.400,.775
Dong Hoon Lee,HAN,OF,37,38,5,4,0,0,0,1,0,0,0,14,0,0,1,.105,.128,.105,.233
Su Haeng Jo,DOO,OF,44,38,12,10,0,0,0,4,3,2,2,6,0,0,0,.263,.300,.263,.563
Gwon Su Ahn,DOO,OF,68,37,10,10,0,0,0,3,2,1,2,5,1,1,0,.270,.293,.270,.563
Byung Wook Lim,KIW,OF,12,37,3,10,4,0,0,6,3,0,4,10,0,0,0,.270,.357,.378,.736
Hong Gu Lee,KTW,C,26,36,2,7,1,0,2,5,0,0,3,10,2,0,2,.194,.279,.389,.668
Taylor Motter,KIW,SS,10,35,4,4,0,0,1,3,0,0,1,10,0,1,0,.114,.135,.200,.335
